time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-01-29T11:09:55.850Z,37.7791667,-121.9671667,8.43,2.93,md,84,52,0.00991,0.12,nc,nc72586041,2017-02-09T21:22:14.940Z,"0km E of San Ramon, California",earthquake,0.13,0.22,0.16,66,reviewed,nc,nc
2016-01-05T14:37:05.620Z,37.388,-121.7381667,7.26,2.8,md,114,33,0.02883,0.09,nc,nc72573895,2017-02-09T18:34:59.070Z,"7km E of East Foothills, California",earthquake,0.09,0.27,0.169,109,reviewed,nc,nc
2015-12-19T08:34:52.890Z,37.7748333,-121.9683333,8.47,2.99,md,131,50,0.01441,0.12,nc,nc72569541,2017-02-08T22:03:58.850Z,"1km ESE of San Ramon, California",earthquake,0.11,0.18,0.131,123,reviewed,nc,nc
2015-11-29T20:23:25.900Z,36.9575,-121.5761667,7.81,2.76,md,97,20,0.06216,0.17,nc,nc72562161,2017-02-08T19:23:19.320Z,"5km S of Gilroy, California",earthquake,0.15,0.42,0.166,134,reviewed,nc,nc
2015-11-19T18:28:09.790Z,36.9835,-121.6348333,7.97,2.82,md,79,31,0.05766,0.08,nc,nc72557706,2017-02-08T18:04:57.060Z,"6km WSW of Gilroy, California",earthquake,0.11,0.38,0.163,116,reviewed,nc,nc
2015-11-10T06:53:24.850Z,37.396,-121.7825,1.51,2.61,md,114,37,0.02523,0.11,nc,nc72553641,2017-02-08T16:58:31.890Z,"3km ENE of East Foothills, California",earthquake,0.09,0.35,0.152,111,reviewed,nc,nc
2015-11-08T12:15:23.780Z,37.7803333,-121.9595,9.33,2.72,md,128,53,0.01261,0.14,nc,nc72550025,2017-02-08T16:43:02.460Z,"1km E of San Ramon, California",earthquake,0.12,0.19,0.155,105,reviewed,nc,nc
2015-11-04T22:54:54.470Z,37.7781667,-121.9638333,9.24,3.1,mw,119,52,0.01261,0.11,nc,nc72548525,2017-02-08T16:20:31.920Z,"1km E of San Ramon, California",earthquake,0.11,0.15,,4,reviewed,nc,nc
2015-11-01T06:38:35.920Z,37.782,-121.965,7.31,2.96,ml,139,53,0.008108,0.16,nc,nc72547150,2017-02-08T15:57:08.520Z,"1km ENE of San Ramon, California",earthquake,0.11,0.15,0.173,60,reviewed,nc,nc
2015-11-01T06:32:23.830Z,37.7838333,-121.9593333,6.55,2.88,md,135,54,0.01081,0.22,nc,nc72547145,2017-02-08T15:56:53.500Z,"1km ENE of San Ramon, California",earthquake,0.13,0.19,0.214,140,reviewed,nc,nc
